iter	Passed	Remaining
399	19819	4954
400	19883	4908
401	19941	4861
402	19992	4812
403	20042	4762
404	20093	4713
405	20141	4663
406	20191	4613
407	20242	4564
408	20298	4516
409	20348	4466
410	20437	4425
411	20499	4378
412	20565	4332
413	20623	4284
414	20685	4236
415	20740	4187
416	20798	4139
417	20853	4090
418	20904	4041
419	20954	3991
420	21002	3941
421	21063	3893
422	21107	3842
423	21154	3791
424	21198	3740
425	21242	3690
426	21288	3639
427	21334	3588
428	21381	3538
429	21425	3487
430	21471	3437
431	21514	3386
432	21563	3336
433	21610	3286
434	21653	3235
435	21697	3184
436	21741	3134
437	21785	3083
438	21833	3033
439	21877	2983
440	21920	2932
441	21966	2882
442	22012	2832
443	22054	2781
444	22099	2731
445	22140	2680
446	22185	2630
447	22230	2580
448	22274	2530
449	22317	2479
450	22363	2429
451	22405	2379
452	22447	2328
453	22491	2278
454	22533	2228
455	22578	2178
456	22627	2129
457	22673	2079
458	22720	2029
459	22770	1980
460	22815	1930
461	22859	1880
462	22905	1830
463	22948	1780
464	22991	1730
465	23035	1680
466	23079	1630
467	23122	1581
468	23168	1531
469	23211	1481
470	23252	1431
471	23298	1382
472	23340	1332
473	23386	1282
474	23429	1233
475	23470	1183
476	23514	1133
477	23561	1084
478	23608	1035
479	23655	985
480	23752	938
481	23867	891
482	23939	842
483	23991	793
484	24044	743
485	24098	694
486	24145	644
487	24194	594
488	24245	545
489	24297	495
490	24344	446
491	24392	396
492	24438	347
493	24486	297
494	24533	247
495	24580	198
496	24631	148
497	24679	99
498	24727	49
499	24777	0
