iter	RMSE
363	1.440580179
364	1.440002599
365	1.439592586
366	1.439277307
367	1.438740301
368	1.4381668
369	1.437960984
370	1.437594107
371	1.43698377
372	1.436876872
373	1.436653926
374	1.436028528
375	1.435170694
376	1.435006737
377	1.434512263
378	1.433867947
379	1.433082452
380	1.432427705
381	1.431873607
382	1.431185452
383	1.43073025
384	1.430059748
385	1.429591173
386	1.428892986
387	1.428186786
388	1.427325664
389	1.427204781
390	1.426550707
391	1.426085442
392	1.425138545
393	1.424685137
394	1.42465893
395	1.423946233
396	1.423581219
397	1.422900324
398	1.422600956
399	1.422019161
400	1.421366101
401	1.420722581
402	1.420310261
403	1.419912244
404	1.419305963
405	1.418546608
406	1.418339097
407	1.417964029
408	1.41744171
409	1.416900762
410	1.415899198
411	1.415490421
412	1.414789137
413	1.413930324
414	1.413806498
415	1.413130652
416	1.412481139
417	1.411724954
418	1.411097631
419	1.410296451
420	1.409930947
421	1.409334161
422	1.408319049
423	1.407643908
424	1.40714866
425	1.406395082
426	1.406040825
427	1.405382069
428	1.40478013
429	1.404354861
430	1.403793079
431	1.403408566
432	1.402817657
433	1.402187433
434	1.401529364
435	1.401087084
436	1.400412016
437	1.400184383
438	1.399481072
439	1.399341485
440	1.398827377
441	1.398233434
442	1.397474927
443	1.397153897
444	1.396947716
445	1.396532293
446	1.396174236
447	1.395841957
448	1.395294876
449	1.395062635
450	1.39474759
451	1.394258644
452	1.393701009
453	1.393488921
454	1.392986768
455	1.392350904
456	1.392292526
457	1.391918362
458	1.391858208
459	1.391471392
460	1.391088732
461	1.390556066
462	1.390179361
463	1.389865216
464	1.389156031
465	1.388706934
466	1.388673654
467	1.388096139
468	1.387628342
469	1.387231902
470	1.386846788
471	1.386587366
472	1.386144987
473	1.386122799
474	1.385769041
475	1.385454877
476	1.385100326
477	1.384599599
478	1.383830197
479	1.383182013
480	1.382901601
481	1.382065724
482	1.3815279
483	1.380881856
484	1.38053325
485	1.380379313
486	1.379880338
487	1.379502146
488	1.379240891
489	1.378713169
490	1.377832093
491	1.37731459
492	1.376954797
493	1.376483275
494	1.376051919
495	1.375695194
496	1.375687387
497	1.374916288
498	1.37471952
499	1.374154915
